Lasagne (végé),Beurre,Kg,FALSE,"0,01","0,01","0,01","0,01"
Lasagne (végé),Farine,Kg,FALSE,"0,01","0,01","0,01","0,01"
Lasagne (végé),Lait,L,FALSE,"0,1","0,1","0,1","0,1"
Lasagne (végé),Noix de muscade,Condiment,FALSE,0,0,0,0
Lasagne (végé),Pâtes à lasagne,Kg,FALSE,"0,08","0,07","0,1","0,09"
Lentilles compote purée (végé),Lentilles vertes,Kg,FALSE,"0,5","0,4","0,6","0,5"
Lentilles compote purée (végé),Pommes,Kg,FALSE,0,0,0,0
Lentilles compote purée (végé),Sucre,Kg,FALSE,"0,005","0,005","0,005","0,005"
Lentilles compote purée (végé),Citron,Pièce,FALSE,0,0,0,0
Lentilles compote purée (végé),Pomme de terre,Kg,FALSE,0,0,0,0
Lentilles compote purée (végé),Lait,L,FALSE,0,0,0,0
Lentilles compote purée (végé),Œufs,Pièce,FALSE,0,0,0,0
Lentilles compote purée (végé),Noix de muscade,Condiment,FALSE,0,0,0,0
Omelette,Œufs,Pièce,FALSE,0,0,3,0
Omelette,Tomate,Kg,FALSE,0,0,"0,1",0
Omelette,Fromage (râpé),Kg,FALSE,0,0,"0,05",0
Omelette,Jambon,Tranche,FALSE,0,0,1,0
Omelette,Pain,Tranche,FALSE,0,0,4,0
Omelette (végé),Œufs,Pièce,FALSE,0,0,3,0
Omelette (végé),Tomate,Kg,FALSE,0,0,"0,1",0
Omelette (végé),Fromage (râpé),Kg,FALSE,0,0,"0,05",0
Omelette (végé),Pain,Tranche,FALSE,0,0,4,0
Pain saucisse,Saucisses,Pièce,FALSE,0,0,1,0
Pain saucisse,Baguettes,Pièce,FALSE,0,0,"0,3",0
Pain saucisse,Oignons,Kg,FALSE,0,0,"0,025",0
Pain saucisse,Aloumi,Kg,TRUE,0,0,"0,15",0
Pain saucisse,Salade,Pièce,FALSE,0,0,"0,05",0
Pâtes courgette (végé),Spirelli,Kg,FALSE,"0,1","0,8","0,15","0,12"
Pâtes courgette (végé),Courgette,Kg,FALSE,0,0,"0,2",0
Pâtes courgette (végé),Fromage (râpé),Kg,FALSE,0,0,"0,04",0
Pâtes courgette (végé),Tomate,Kg,FALSE,0,0,"0,05",0
Pâtes courgette (végé),Oignons,Kg,FALSE,0,0,"0,025",0
Pâtes courgette (végé),Ail,Condiment,FALSE,0,0,0,0
Pâtes courgette (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Pâtes courgette lardons,Spirelli,Kg,FALSE,"0,1","0,8","0,15","0,12"
Pâtes courgette lardons,Courgette,Kg,FALSE,0,0,"0,2",0
Pâtes courgette lardons,Fromage (râpé),Kg,FALSE,0,0,"0,04",0
Pâtes courgette lardons,Tomate,Kg,FALSE,0,0,"0,05",0
Pâtes courgette lardons,Oignons,Kg,FALSE,0,0,"0,025",0
Pâtes courgette lardons,Ail,Condiment,FALSE,0,0,0,0
Pâtes courgette lardons,Huile d'olive,Condiment,FALSE,0,0,0,0
Pâtes courgette lardons,Lardons,Kg,FALSE,0,0,"0,1",0
Pâtes fromage (végé),Macaroni,Kg,FALSE,"0,1","0,8","0,15","0,12"
Pâtes fromage (végé),Fromage (râpé),Kg,FALSE,0,0,0,0
Pâtes fromage (végé),Crème fraiche,L,FALSE,0,0,0,0
Pâtes fromage (végé),Noix de muscade,Condiment,FALSE,0,0,0,0
Pâtes jambon fromage,Macaroni,Kg,FALSE,"0,1","0,8","0,15","0,12"
Pâtes jambon fromage,Fromage (râpé),Kg,FALSE,0,0,"0,05",0
Pâtes jambon fromage,Crème fraiche,L,FALSE,0,0,"0,2",0
Pâtes jambon fromage,Noix de muscade,Condiment,FALSE,0,0,0,0
Pâtes jambon fromage,Jambon (tranche épaisse),Kg,FALSE,0,0,"0,1",0
Pâtes jambon fromage,Tomate,Kg,TRUE,0,0,"0,2",0
Pâtes jambon fromage,Mozzarella,Pièce,TRUE,0,0,"0,4",0
Pâtes tomate mozza pesto (végé),Spirelli,Kg,FALSE,"0,1","0,8","0,15","0,12"
Pâtes tomate mozza pesto (végé),Tomate,Kg,FALSE,0,0,"0,15",0
Pâtes tomate mozza pesto (végé),Pesto,Kg,FALSE,"0,04","0,04","0,05","0,05"
Pâtes tomate mozza pesto (végé),Mozzarella,Pièce,FALSE,0,0,1,0
Pâtes tomate mozza pesto (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
Pitta,Pain pitta,Pièce,FALSE,0,0,2,0
Pitta,Viande à pitta,Kg,FALSE,0,0,"0,15",0
Pitta,Oignons,Kg,FALSE,0,0,"0,025",0
Pitta,Tomate,Kg,FALSE,0,0,"0,1",0
Pitta,Concombre,Kg,FALSE,0,0,"0,075",0
Pitta,Poivrons,Kg,FALSE,0,0,"0,1",0
Pitta,Olive,Kg,FALSE,0,0,"0,04",0
Pitta,Salade,Pièce,FALSE,0,0,"0,05",0
Pitta,Feta,Kg,FALSE,0,0,"0,04",0
Pitta,Yaourt,Kg,FALSE,0,0,"0,02",0
Pitta,Citron,Pièce,FALSE,0,0,"0,1",0
Pitta (végé),Pain pitta,Pièce,FALSE,0,0,0,0
Pitta (végé),Oignons,Kg,FALSE,0,0,"0,025",0
Pitta (végé),Tomate,Kg,FALSE,0,0,"0,1",0
Pitta (végé),Concombre,Kg,FALSE,0,0,"0,075",0
Pitta (végé),Poivrons,Kg,FALSE,0,0,"0,1",0
Pitta (végé),Olive,Kg,FALSE,0,0,"0,04",0
Pitta (végé),Salade,Pièce,FALSE,0,0,"0,05",0
Pitta (végé),Feta,Kg,FALSE,0,0,"0,06",0
Pitta (végé),Yaourt,Kg,FALSE,0,0,"0,02",0
Pitta (végé),Citron,Pièce,FALSE,0,0,"0,1",0
Pizza,Pâte à pizza,Pièce,FALSE,0,0,0,0
Pizza,Passata,Kg,FALSE,"0,075","0,075","0,15","0,15"
Pizza,Ail,Condiment,FALSE,0,0,0,0
Pizza,Origan,Condiment,FALSE,0,0,0,0
Pizza,Basilic,Condiment,FALSE,0,0,0,0
Pizza,Huile d'olive,Condiment,FALSE,0,0,0,0
